id,sid,theta,k,c
1,0,-1.994639,0.63297886,1.0115248
2,1,0.28891188,0.2775495,0.9899165
3,2,1.3027285,0.49446806,1.0047709
4,3,-0.65349865,0.39473867,1.113597
5,4,1.4718019,0.4566119,1.0254974
6,5,-0.30544877,0.6498546,1.0397793
7,6,-0.32153854,0.62737864,1.0170226
8,7,-0.25544268,0.38500115,1.019437
9,8,0.2563538,0.36439317,1.0123161
10,9,-1.9409704,0.59932005,0.99044406
11,10,-0.2324151,0.42875698,0.9508543
12,11,-1.5596002,0.48460963,1.0184904
13,12,2.265765,0.6247996,1.0560619
14,13,0.59808177,0.573767,1.0122097
15,14,-1.6127757,0.6286112,1.0158004
16,15,0.21528953,0.38137683,1.0040139
17,16,1.1423781,0.5213637,1.0184896
18,17,0.8826045,0.50068545,1.0032638
19,18,0.8891886,0.53544486,0.98885185
20,19,-0.16508812,0.40553397,0.98789763
21,20,0.4850212,0.49827483,1.0072279
22,21,-0.27623156,0.2609094,1.0674193
23,22,0.32919896,0.40035334,0.9311225
24,23,-0.23065211,0.44734892,0.96218
25,24,0.43253663,0.46984255,1.0240693
26,25,-0.09472832,0.57818305,1.0285069
27,26,0.7253171,0.34486467,1.0082511
28,27,0.48336372,0.595502,0.9614019
29,28,-0.080156356,0.6399331,1.0785713
30,29,1.2583799,0.56018966,0.99794793
31,30,1.2330377,0.39283964,0.98069537
32,31,-1.3827442,0.5148631,0.994616
33,32,-0.22430037,0.51360506,0.9652392
34,33,0.93000644,0.49353084,1.0435675
35,34,0.9251087,0.46665618,1.0082359
36,35,-0.15848792,0.32357323,0.9988842
37,36,0.28139818,0.8388523,1.0654341
38,37,-1.8069808,0.49912432,1.0002834
39,38,0.7517905,0.4838535,0.9635998
40,39,-0.5929796,0.32245308,1.0287019
41,40,0.20258473,0.63892895,0.98051286
42,41,-0.8695235,0.5508589,1.0200334
43,42,-2.451753,0.56091636,0.98457354
44,43,1.5740522,0.44866204,1.0014579
45,44,-0.4982482,0.44244954,1.0277876
46,45,1.2430241,0.3688682,0.9785701
47,46,0.46618292,0.40431327,0.9966667
48,47,-1.2312697,0.2955909,0.9432506
49,48,0.71716255,0.48534834,0.9612773
50,49,-0.82524073,0.6558623,1.0364636
51,50,0.15915973,0.7181154,1.0079467
52,51,0.17180617,0.42717886,1.0188074
53,52,1.1232811,0.36575904,0.98762536
54,53,0.3530037,0.45056844,0.9805188
55,54,1.0028094,0.76618385,1.016898
56,55,0.06045486,0.49613973,1.0044806
57,56,0.41277677,0.64349824,1.0224243
58,57,-0.53595895,0.6772481,0.99594325
59,58,1.2624325,0.46362695,1.010097
60,59,-0.36793914,0.514266,1.0352535
61,60,-0.67435133,0.50732654,0.953201
62,61,-1.3820753,0.32218543,1.0290748
63,62,-0.40741813,0.5214525,0.9539086
64,63,-0.9690105,0.5377755,1.0189538
65,64,-0.50475115,0.58075446,1.0365759
66,65,1.4294263,0.31103668,1.0682026
67,66,-0.45039392,0.46978414,1.0105634
68,67,0.07942181,0.58211803,0.9814786
69,68,-0.2768579,0.54775596,0.9675289
70,69,0.7478181,0.5023535,1.010691
71,70,0.31289434,0.44691628,0.9980985
72,71,-1.0826402,0.58015174,1.0165062
73,72,0.80880076,0.38862127,1.0653261
74,73,0.9696072,0.55904186,0.9860593
75,74,-0.14476822,0.32042834,1.0396032
76,75,-0.8241378,0.6677118,1.0451956
77,76,-0.6257416,0.5269347,0.9945794
78,77,0.3554213,0.5414157,1.0410826
79,78,0.516553,0.36431482,1.0224206
80,79,0.34641835,0.3856011,0.98273885
81,80,0.82602334,0.5670834,1.0211949
82,81,-1.4974049,0.5672643,1.0117618
83,82,1.3589712,0.39493182,1.1035745
84,83,-0.31638062,0.3515767,1.032474
85,84,-1.4373494,0.45546,1.0009921
86,85,0.81855965,0.5132177,1.0172297
87,86,-0.5217926,0.588548,1.0251855
88,87,-0.5112513,0.6875926,1.0313394
89,88,-0.6148669,0.412134,0.9942781
90,89,-1.2634996,0.6125212,1.0082427
91,90,-0.74677366,0.5099064,1.0492101
92,91,-0.55580217,0.6016931,1.0148174
93,92,2.1340363,0.5567323,1.0163761
94,93,1.0171291,0.51986235,0.98669744
95,94,-0.40483525,0.6569994,1.0041215
96,95,0.37314704,0.26019615,1.0067408
97,96,-0.19640525,0.54782677,1.0116343
98,97,0.029989183,0.52721596,1.0157651
99,98,-0.85068727,0.43214634,1.0251344
100,99,0.8131342,0.5923134,1.0087624
101,100,0.876939,0.7191616,0.9920237
102,101,-1.140396,0.52464664,1.0174636
103,102,2.2150085,0.6600979,0.9413556
104,103,1.5531245,0.35770145,1.0334877
105,104,-1.1054018,0.662657,0.9390198
106,105,0.74942464,0.18274264,1.0714991
107,106,0.35448927,0.397246,1.007353
108,107,-1.5086654,0.47138172,0.99314773
109,108,-1.5285119,0.35971496,1.0585184
110,109,-1.0509549,0.57463527,1.0376586
111,110,0.12399615,0.63429236,0.965643
112,111,-0.6194693,0.48852903,1.0465871
113,112,-0.5241134,0.6021783,0.9836276
114,113,-1.2094744,0.44221556,1.0382066
115,114,-1.2661822,0.4872679,1.047264
116,115,-0.3787682,0.48699516,1.0207818
117,116,-0.8914877,0.21376632,1.0364522
118,117,-1.0439093,0.43839765,1.0261589
119,118,1.8398925,0.42436823,0.990474
120,119,0.17997347,0.44760668,0.9867816
121,120,0.3004552,0.54207724,0.92711455
122,121,-0.87608325,0.5293724,1.0035292
123,122,0.11195276,0.46761048,0.9556985
124,123,-0.31487444,0.29452118,1.0124253
125,124,-0.42328656,0.69903636,1.0327892
126,125,-1.4822103,0.5697778,1.0049103
127,126,-1.1985973,0.5080532,1.0102974
128,127,-0.9524346,0.5230835,0.996885
129,128,0.26380327,0.80020565,0.995844
130,129,0.47744757,0.46662918,1.0551255
131,130,-2.3935323,0.5243563,0.9955342
132,131,1.5197601,0.49997568,0.9621442
133,132,0.9372663,0.5246684,1.009293
134,133,0.7318643,0.30176038,1.0435011
135,134,0.6669335,0.58231324,1.0253856
136,135,1.3156428,0.45524377,1.0061115
137,136,0.372137,0.530636,0.9941801
138,137,1.6613915,0.4698819,0.98480153
139,138,-0.4217151,0.32734185,0.96427846
140,139,-0.09270312,0.46652535,0.9664766
141,140,0.73189354,0.4223558,1.0276328
142,141,1.6952373,0.42470458,0.99984586
143,142,0.9932983,0.52980614,0.9678507
144,143,2.650418,0.4888307,1.01823
145,144,0.34349698,0.37557474,0.9535187
146,145,0.7430339,0.50021154,0.9592382
147,146,0.5678467,0.4972593,1.0389359
148,147,-0.53069353,0.40594667,1.0077804
149,148,-0.10839827,0.49378997,0.997691
150,149,0.33551434,0.2711574,1.0312237
151,150,-0.5837802,0.5104516,1.0040255
152,151,0.4266813,0.5698094,1.0677918
153,152,-0.12995362,0.48213738,1.0399587
154,153,0.34677735,0.21478571,1.0854906
155,154,-0.041009806,0.42720935,0.9821234
156,155,1.3464584,0.48592317,0.9978958
157,156,0.589042,0.31974626,1.0415168
158,157,-0.26228648,0.47666165,1.0062549
159,158,1.2456595,0.61634713,1.0108137
160,159,-1.1643505,0.70775557,1.0243635
161,160,0.037087537,0.40334362,0.96756333
162,161,-1.033599,0.54289746,1.0531412
163,162,0.7790348,0.42946517,1.0147617
164,163,0.6408926,0.47014764,1.0254489
165,164,-0.31016332,0.24336943,0.990313
166,165,0.83411056,0.48475352,1.0147794
167,166,-1.1568305,0.6876263,1.0394391
168,167,1.2567427,0.758316,1.0384607
169,168,-0.3902632,0.6226014,1.0176424
170,169,2.3071725,0.50852525,1.0045844
171,170,0.17075272,0.46317428,0.9970342
172,171,0.38359576,0.46023858,1.0115678
173,172,-1.9663209,0.47955474,0.9627288
174,173,-0.22901836,0.604886,1.008308
175,174,-1.1930213,0.63120735,1.0077192
176,175,0.2342511,0.60242623,1.0271144
177,176,-1.221739,0.41494286,0.9855566
178,177,1.6132872,0.41812986,0.9957761
179,178,-1.232664,0.42538485,0.9797319
180,179,0.13575213,0.29865405,1.0225319
181,180,1.1274587,0.33097178,1.0448813
182,181,2.793979,0.653278,1.0408512
183,182,1.7256126,0.48687348,0.98388314
184,183,0.09213132,0.42503786,0.9523856
185,184,0.0017659774,0.4566781,0.9939686
186,185,-0.23320195,0.5689767,1.0055678
187,186,2.4617832,0.6350573,1.0426497
188,187,-2.3964486,0.5492374,1.0085858
189,188,1.5273834,0.55474305,1.0389131
190,189,0.08043597,0.44778004,1.003312
191,190,-0.98089075,0.391027,1.0074152
192,191,-0.9163657,0.60193753,0.9635572
193,192,0.17328562,0.5388868,1.0197995
194,193,0.4017435,0.3768027,1.006807
195,194,1.1710017,0.6323525,1.0081192
196,195,0.32576355,0.49528137,0.9740135
197,196,0.8875089,0.4027553,1.0096107
198,197,-1.2824498,0.51149803,1.0187846
199,198,-0.80490977,0.5463026,0.98723364
200,199,1.1336118,0.37985268,0.9593542
201,200,-2.0182445,0.4217772,0.9964766
202,201,-0.672122,0.60650784,1.028527
203,202,-0.66711015,0.61044955,1.0267006
204,203,-0.036988035,0.624866,0.9725117
205,204,-0.87531084,0.63411826,1.0488281
206,205,0.11278749,0.45056793,1.0265858
207,206,-0.9907752,0.58404464,1.0355227
208,207,-0.70003897,0.7322992,1.0364729
209,208,-0.8576085,0.6043137,0.9641966
210,209,-1.1218599,0.52364546,1.0022302
211,210,-0.97768575,0.650712,1.0126702
212,211,1.0333316,0.53290296,0.9973228
213,212,-0.48123944,0.59409595,1.0381694
214,213,-0.74598986,0.6341194,1.0299177
215,214,1.0048943,0.55559427,1.0512363
216,215,0.4453471,0.39516705,1.0591484
217,216,-1.0495379,0.37776065,1.0177351
218,217,-1.509428,0.35602814,1.0184566
219,218,0.25148568,0.6992484,1.0284948
220,219,0.56755877,0.51020813,1.012506
221,220,0.101376265,0.47343886,0.9556429
222,221,1.2681487,0.37787735,0.96934354
223,222,0.37434027,0.5066121,0.95439637
224,223,-0.92579275,0.40799326,0.99037886
225,224,0.78571975,0.4842262,1.0406977
226,225,-0.63257277,0.48167017,1.0109477
227,226,1.6447893,0.3820644,0.9803897
228,227,1.4637498,0.41619262,0.97388935
229,228,0.747257,0.47890416,0.93619144
230,229,-0.19063406,0.6127199,0.96846604
231,230,-1.7997386,0.5721017,0.9785804
232,231,0.23386976,0.44103083,1.0193096
233,232,2.8165383,0.56210816,1.0077863
234,233,-0.26080692,0.44671467,1.0740633
235,234,-1.8546686,0.48289478,0.9927216
236,235,0.014670426,0.37415615,1.010063
237,236,-1.6068636,0.56613535,1.0079746
238,237,-1.3814337,0.35116154,1.0623958
239,238,0.06730139,0.4257002,0.9694517
240,239,-0.77084506,0.51039284,1.1075758
241,240,1.0938402,0.54704124,0.9827929
242,241,1.9495591,0.6185911,0.95977116
243,242,0.32989272,0.5204424,1.0671077
244,243,0.85311466,0.32816976,1.0281194
245,244,-1.6492215,0.6811582,0.99142957
246,245,-1.1847392,0.61242044,0.9817101
247,246,0.27017635,0.316085,1.0261151
248,247,-0.40817884,0.33536184,0.98359835
249,248,0.9088066,0.7401653,1.036111
250,249,0.10171042,0.5910739,1.0243965
251,250,-2.0337846,0.5134046,1.0080079
252,251,-0.7050454,0.35639986,1.0037409
253,252,0.98289675,0.6218409,1.0047865
254,253,-2.035947,0.5298084,1.0371358
255,254,1.3153156,0.3549392,1.0048789
256,255,1.149616,0.53551936,0.9348548
257,256,0.49923515,0.5032455,0.98280776
